id,task_name,task_detail,task_assessment,task_behavior,task_feedback,task_duedate,created_at,updated_at,course_id,room_id,task_behavior_extra,average_score,task_assignment_other,task_alert
16,บทที่ 1 บทนำ,เป็นการประเมิน แบบฝึกหัดที่ 1-5 ,แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""แสดงวิธีทำอย่างเป็นขั้นตอน พร้อมระบุหน่วยเสมอ"",""คำนวณได้อย่างละเอียดรอบคอบ และถูกต้อง""],""disadvantages"":[""แสดงวิธีการคำนวณให้ละเอียดมากขึ้น"",""ปรับปรุงลายมือ"",""คำนวณหาคำตอบให้คำนึงถึงเลขนัยสำคัญ"",""ให้ระบุหน่วยของปริมาณที่คำนวณกำกับเสมอ"",""คำนวณให้ระมัดระวัง และรอบคอบมากขึ้น""],""suggestion"":[]}",2018-06-04 09:00:00,2018-06-04 03:23:17.634373,2018-06-07 22:04:13.669431,7,6,"{""type"":""คะแนน (scoring)"",""score"":""2""}",2,"",2018-06-04 08:35:00
10,นำเสนองานกลุ่ม,นำเสนอเรื่องที่สนใจเป็นงานกลุ่ม,กิจกรรมกลุ่ม,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-05-24 04:20:00,2018-05-25 04:21:02.918742,2018-06-13 05:37:05.652186,4,3,"{""type"":""คะแนน (scoring)"",""score"":""20""}",14.1428571428571,"",2018-05-22 04:20:00
12,สอบปลายภาค,สอบปลายภาคเรียน 1/2561,สอบปลายภาค,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-06-13 04:24:00,2018-05-25 04:24:50.496089,2018-06-13 05:38:38.668017,4,3,"{""type"":""คะแนน (scoring)"",""score"":""100""}",73,"",2018-05-25 04:24:00
35,ชิ้นงานรูปทรงเรขาคณิต,"",กิจกรรมกลุ่ม,rating scale,"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-08-26 07:09:00,2018-08-19 07:04:38.297419,2018-08-19 07:09:58.710861,26,88,"{""type"":""rating scale"",""score"":""5"",""data"":[{""value1"":""5"",""value2"":""ดีเยี่ยม""},{""value1"":""4"",""value2"":""ดี""},{""value1"":""3"",""value2"":""ปานกลาง""},{""value1"":""2"",""value2"":""พอใช้""},{""value1"":""1"",""value2"":""ควรปรับปรุง""}]}",0,"",2018-08-23 07:09:00
11,การบ้าน บทที่ 2,ตรวจสอบการส่งการบ้านบทที่ 2,การบ้าน,checklist,"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-05-24 04:22:00,2018-05-25 04:22:31.799923,2018-06-20 19:28:03.828377,4,3,"{""type"":""checklist"",""data"":[{""value1"":""เสร็จ"",""value2"":""ไม่เสร็จ""},{""value1"":""ดี"",""value2"":""ไม่ดี""}]}",0,"",2018-05-21 04:22:00
7,แกรมมา หน่วย 1,แบบฝึกหัดแกรมมาหน่วยที่ 1 ,แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""ถูกหลัก Grammar"",""ประโยคมีความซับซ้อน"",""เป็นภาษาที่ใช้จริง"",""มีความใส่ใจดี""],""disadvantages"":[""ความถูกต้องของ Grammar ที่ใช้"",""ควรแต่งประโยตให้ซับซ้อนขึ้น "",""การใช้คำไม่สอดคล้องกับบริบท""],""suggestion"":[""ศึกษาผ่านเอกสารของครู"",""ศึกษาจาก Youtube "",""พัฒนาการใช้ภาษาของชาวต่างชาติได้จาก Link ของครู"",""ลองฝึกแต่งประโยคเพิ่มเติม""]}",2018-05-23 03:00:00,2018-05-25 04:03:16.236066,2018-06-20 19:57:39.324265,4,3,"{""type"":""คะแนน (scoring)"",""score"":""10""}",7.14285714285714,"",2018-05-22 03:00:00
55,แบบฝึกหัดสมการ,"",แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""สะอาดเรียบร้อย"",""ถูกต้องทุกข้อ""],""disadvantages"":[""ผิดทุกข้อ"",""ไม่แสดงวิธีทำ""],""suggestion"":[""ึควรพยายามให้มากกว่านี้"",""ควรเปิดตัวอย่างดู""]}",2018-08-29 07:09:00,2018-08-19 07:09:59.529732,2018-08-19 08:07:01.672541,35,61,"{""type"":""คะแนน (scoring)"",""score"":""10""}",8,"",2018-08-28 07:09:00
9,สอบกลางภาค,สอบกลางภาค 3 บท,สอบกลางภาค,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-06-01 06:00:00,2018-05-25 04:19:39.436135,2018-07-02 05:59:51.508993,4,3,"{""type"":""คะแนน (scoring)"",""score"":""50""}",36.7142857142857,"",2018-05-28 06:00:00
54,แบบฝึกหัด,"",การบ้าน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เรียบร้อยดีมาก"",""งานเรียบร้อยดี"",""ลายมือสวยดี""],""disadvantages"":[""สะกดคำผิดเยอะมาก"",""เว้นวรรคไม่ถูกหลายที่""],""suggestion"":[""ควรเปิดพจนานุกรมเมื่อไม่แน่ใจ""]}",2018-08-22 07:09:00,2018-08-19 07:09:56.500605,2018-08-19 08:07:41.316966,52,56,"{""type"":""คะแนน (scoring)"",""score"":""10""}",8,"",
41,ใบงาน  ใบสื่อการเรียนรู้ แบบฝึกงานการอ่าน,"สื่อการเรียนรู้เป็นสิ่งสำคัญในการช่วยในการะบวนการเรียนการสอนเพือให้ผูเรียนเรียนรู้และเข้าใจในเนื่อหามากยิ่งขึ้น
",แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""3"",""text"":""ดีมาก""},{""score"":""2"",""text"":""ดี""},{""score"":""1"",""text"":""พอใช้""},{""score"":""0"",""text"":""ปรับปรุง""}],""advantages"":[""อ่านคำได้ดีแต่ไม่คล่อง""],""disadvantages"":[""การอ่านและการเขียน""],""suggestion"":[""ฝึกอ่านและเขียนให้มากๆ""]}",2561-08-14 17:00:00,2018-08-19 07:08:42.487358,2018-08-19 07:08:42.487358,34,32,"{""type"":""คะแนน (scoring)"",""score"":""10""}",0,"",2561-08-10 17:00:00
38,1. ใบกิจกรรมการลำเลียงสารผ่านเซลล์,"การแพร่แบบธรรมดา
การแพร่แบบฟาซิลิเตท
การออสโมซิส",แบบฝึกหัด,rating scale,"{""quality"":[{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-09-01 05:00:00,2018-08-19 07:05:26.898386,2018-08-19 07:09:20.165094,27,30,"{""type"":""rating scale"",""score"":""3"",""data"":[{""value1"":""3"",""value2"":""เรียบร้อยดีมาก""},{""value1"":""2"",""value2"":""เรียบร้อยดี""},{""value1"":""1"",""value2"":""เรียบร้อยน้อย""}]}",0,"",2018-08-31 07:09:00
64,แบบฝึกหัด/การบ้าน,ความถูกต้องของการทำแบบฝึกหัด,การบ้าน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""แสดงวิธีทำได้ถูกต้องทุกข้อและมีความเรียบร้อยดี"",""แสดงวิธีทำได้ถูกต้องทุกข้อ""],""disadvantages"":[""ฝึกทำแบบฝึกหัดให้ถูกทุกข้อ""],""suggestion"":[]}",,2018-08-19 07:10:26.110662,2018-08-19 08:03:26.853186,65,40,"{""type"":""คะแนน (scoring)"",""score"":""10""}",10,"",
63,คลื่นกล,"",แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เรียบร้อยดีมาก"",""เรียบร้อยดี"",""เรียบร้อย""],""disadvantages"":[""ทำงานไม่เรียบร้อย"",""ทำงานไม่ครบ"",""อ่านไม่ออก"",""ฟังคำสั่งของครูด้วย""],""suggestion"":[]}",2018-08-26 17:00:00,2018-08-19 07:10:22.36416,2018-08-19 08:03:45.151653,33,48,"{""type"":""คะแนน (scoring)"",""score"":""10""}",8,"",2018-08-23 17:00:00
57,ฝึกทำโจทย์คำนวณ,"",ทดสอบย่อย,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""สามารถใช้สูตรคำนวณหาคำตอบได้""],""disadvantages"":[""คำนวณตัวเลขไม่ถูกต้อง""],""suggestion"":[""ฝึกทักษะการคำนวณให้มากขึ้น""]}",2018-08-23 07:09:00,2018-08-19 07:10:03.374422,2018-08-19 08:04:19.83865,36,68,"{""type"":""คะแนน (scoring)"",""score"":""10""}",8,"",2018-08-22 07:09:00
62,เอกสารการสอน เรื่องระบบสมการ,"",แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เรียบร้อยดีมาก"",""ถูกต้องดีมาก"",""ลายมือสวยมาก""],""disadvantages"":[""กลับไปแก้ไขให้ถูกต้อง"",""ปรับปรุงลายมือ"",""ทำงานให้ถูกเรียบร้อย"",""ทำงานไม่ครบ""],""suggestion"":[""เอากลับไปแก้ไขลายมือ""]}",2018-08-24 07:09:00,2018-08-19 07:10:15.032473,2018-08-19 08:06:33.886205,37,47,"{""type"":""คะแนน (scoring)"",""score"":""5""}",4,"",2018-08-22 07:09:00
56,โขนละคร,"",แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เรียบร้อยดีมาก"",""มีความรู้ความเข้าใจในเนื้อหาบทเรียนดี""],""disadvantages"":[""เขียนสะกดคำไม่ถุกต้อง"",""พัฒนาลายมือให้ดียิ่งขึ้น""],""suggestion"":[""ฝึกอ่านหนังสือเพื่อให้มีคลังศัพท์มากขึ้น"",""พยายามคัดลายมือตัวบรรจง""]}",2018-08-27 07:00:00,2018-08-19 07:10:00.623485,2018-08-19 08:06:45.701119,58,49,"{""type"":""คะแนน (scoring)"",""score"":""10""}",9,"",2018-08-24 07:00:00
60,แผนท่ี,แผนท่ีออสเตรเลียโอเชียเนีย,การบ้าน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เรียบร้อยดีมาก"",""ทำผิด""],""disadvantages"":[""ทำให้ถูกมากข้ึน""],""suggestion"":[""ตั้งใจฝึกทำให้มากข้ึน ทำงานให้เรียบร้อย""]}",2018-08-26 07:09:00,2018-08-19 07:10:08.728548,2018-08-19 08:07:25.331118,43,54,"{""type"":""คะแนน (scoring)"",""score"":""10""}",8,"",2018-08-24 07:09:00
21,Profile,"",แบบฝึกหัด,ข้อความ,"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""Design"",""Languages""],""disadvantages"":[""Use of words"",""Grammar"",""Punctuation""],""suggestion"":[]}",2018-06-20 03:37:00,2018-06-06 03:38:10.982834,2018-06-13 05:29:28.137919,9,8,"{""type"":""ข้อความ""}",0,"",
15,555,ทดสอบ,ทดสอบย่อย,rating scale,"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""},{""score"":""5"",""text"":""ดีสุดๆ ""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-06-09 13:18:00,2018-06-03 13:16:34.769892,2018-06-03 13:16:34.769892,6,5,"{""type"":""rating scale"",""score"":"""",""data"":[]}",0,"",2018-06-06 13:18:00
20,Unusual Hotel,"",การบ้าน,rating scale,"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-06-20 16:59:00,2018-06-06 03:34:50.048102,2018-06-06 03:34:50.048102,9,8,"{""type"":""rating scale"",""score"":""5"",""data"":[{""value1"":""5"",""value2"":""""},{""value1"":""4"",""value2"":""""},{""value1"":""3"",""value2"":""""},{""value1"":""2"",""value2"":""""},{""value1"":""1"",""value2"":""""}]}",0,"",
17,บทที่ 9 คลื่นกล องค์ประกอบคลื่นและการซ้อนทับ,"",แบบฝึกหัด,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""แสดงวิธีการคำนวณอย่างเป็นขั้นตอน"",""ระบุหน่วยทุกข้อ"",""ลายมือเป็นระเบียบ""],""disadvantages"":[""แสดงการคำนวณ แทนค่าสมการอย่างเป็นขั้นตอน"",""ควรระบุหน่วยทุกข้อ "",""ควรปรับลายมือให้เรียบร้อย""],""suggestion"":[""นัดหมายส่งงานใหม่"",""นัดพบครูเพ่ิมเติม""]}",2018-05-31 09:00:00,2018-06-04 03:41:15.887543,2018-06-04 03:44:05.334145,8,7,"{""type"":""คะแนน (scoring)"",""score"":""1""}",0,"",2018-05-31 03:10:00
18,บทที่ 9 ใบกิจกรรมที่ 1 องค์ประกอบคลื่น,"",กิจกรรมชั้นเรียน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-05-31 09:00:00,2018-06-04 03:46:08.730538,2018-06-04 03:46:08.730538,8,7,"{""type"":""คะแนน (scoring)"",""score"":""1""}",0,"",2018-05-31 03:10:00
24,สอบกลางภาค,"",การบ้าน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-06-08 17:00:00,2018-06-09 08:19:18.979352,2018-06-09 08:19:18.979352,12,12,"{""type"":""คะแนน (scoring)"",""score"":""-5""}",0,"",2018-06-10 17:00:00
45,เขียนความประทับใจแหล่งเรียนรู้,"",การบ้าน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""เรียบร้อยดีมาก"",""งานสะอาดเรียบร้องดีมาก""],""disadvantages"":[""ปรับปรุงลายมือด้วยค่ะ"",""อ่านไม่ออกจ้า"",""ทำด้วยตัวเองสิคะ""],""suggestion"":[""ควรทำงานส่งให้ตรงเวลา""]}",2018-08-26 07:09:00,2018-08-19 07:09:41.029148,2018-08-19 07:09:41.029148,50,33,"{""type"":""คะแนน (scoring)"",""score"":""10""}",0,"",
14,งานแปล,"",กิจกรรมชั้นเรียน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-05-27 08:06:00,2018-05-28 08:06:40.58974,2018-06-13 05:36:51.12507,4,3,"{""type"":""คะแนน (scoring)"",""score"":""10""}",8.14285714285714,"",2018-05-25 08:06:00
43,เค้าโครงโครงงานวิทยาศาสตร์,กำหนดนักเรียนให้นักเรียนส่งเค้าโครงโครงงาน โดยเก็บคะแนนทั้ง 3 รายวิชา,โครงงาน,คะแนน (scoring),"{""quality"":[{""score"":""5"",""text"":""ดีมาก""},{""score"":""4"",""text"":""ดี""},{""score"":""3"",""text"":""พอใช้""},{""score"":""2"",""text"":""แก้ไขเพิ่มเติมบางส่วน""},{""score"":""1"",""text"":""แก้ไขใหม่ทั้งหมด""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-08-31 07:08:00,2018-08-19 07:09:12.63763,2018-08-19 08:05:19.773748,29,42,"{""type"":""คะแนน (scoring)"",""score"":""5""}",5,"",2018-08-24 07:08:00
22,งานกลุ่ม,งานกลุ่มห้าคนเพื่อให้คะนนพิเศษ,กิจกรรมกลุ่ม,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[],""disadvantages"":[],""suggestion"":[]}",2018-06-09 07:51:00,2018-06-09 07:53:28.180489,2018-06-13 05:37:21.562551,4,3,"{""type"":""คะแนน (scoring)"",""score"":""100""}",87.7142857142857,"",2018-06-11 07:52:00
59,แบบฝึกการอ่าน1,Canada,การบ้าน,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""Great"",""Capital letter""],""disadvantages"":[""สะกดผิดบางคำ""],""suggestion"":[""ควรเขียนลายมือให้สวยๆนะจ๊ะ""]}",2018-08-19 07:10:00,2018-08-19 07:10:06.19927,2018-08-19 08:06:50.992522,57,98,"{""type"":""คะแนน (scoring)"",""score"":""10""}",8,"",2018-08-17 17:00:00
19,การทดลองที่ 1 การใช้เครื่องมือวัด,การใช้เวอร์เนียร์ฯ หาความสัมพันธ์ระหว่างเส้นรอบวงกับเส้นผ่านศูนย์กลาง ,ปฏิบัติการ,คะแนน (scoring),"{""quality"":[{""score"":""4"",""text"":""ดีมาก""},{""score"":""3"",""text"":""ดี""},{""score"":""2"",""text"":""พอใช้""},{""score"":""1"",""text"":""ควรปรับปรุง""}],""advantages"":[""การวัดมีความแม่นยำ"",""ระบุองค์ของกราฟได้ครบถ้วน"",""แสดงสมการเชิงเส้นได้ถูกต้อง""],""disadvantages"":[""ต้องระบุชื่อตัวแปรและหน่วยบนแกน x และ y"",""ต้องแสดงสมการเส้นตรงของตัวแปร x และ y ""],""suggestion"":[""ให้วัดค่าโดยใช้เครื่องมือวัดใหม่ "",""แก้ไขในไฟล์ exel ใหม่ ""]}",2018-06-05 01:30:00,2018-06-04 07:03:56.94127,2018-06-04 07:03:56.94127,7,6,"{""type"":""คะแนน (scoring)"",""score"":""2""}",0,"",2018-06-04 12:00:00
