id,room_name,room_detail,room_pin,created_at,updated_at,course_id,ratio_score,ratio_grade,point_attr
97,ม.3/2,ภาคเรียนที่ 1,316302,2018-08-19 07:02:54.928018,2018-08-19 07:02:54.928018,37,,,0
134,ป.3,จำนวนนักเรียน 9 คน,8dff53,2019-09-06 06:38:52.665513,2019-09-06 06:38:52.665513,109,,,0
88,ม.3/10,1,852faa,2018-08-19 07:02:10.680166,2018-08-19 08:11:09.137183,26,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""10"",""type"":""exam"",""childs"":[]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""90"",""type"":""saving"",""childs"":[{""text"":""ชิ้นงานรูปทรงเรขาคณิต/กิจกรรมกลุ่ม"",""score"":""5"",""id"":35}]}}]}","{""choice"":""4"",""blocks"":[{""leftnum"":""85"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""7"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""80"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""6"",""rightoper"":""<"",""rightnum"":""85"",""rightnumindex"":""1""},{""leftnum"":""75"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""5"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""2""},{""leftnum"":""70"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""4"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""3""},{""leftnum"":""65"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""3"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""4""},{""leftnum"":""60"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""2"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""1"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""0"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",10
23,ม.4/2,"",ee6ecd,2018-08-19 06:55:02.140514,2018-08-19 08:08:21.236946,24,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""40"",""type"":""exam"",""childs"":[]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""60"",""type"":""saving"",""childs"":[{""text"":""แบบฝึกหัดข้อ 1/5/การบ้าน"",""score"":""10"",""id"":39}]}}]}","{""choice"":""4"",""blocks"":[{""leftnum"":""80"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""4"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""75"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""3.5"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""1""},{""leftnum"":""70"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""3"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""2""},{""leftnum"":""65"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""2.5"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""3""},{""leftnum"":""60"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""2"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""4""},{""leftnum"":""55"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""1.5"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""1"",""rightoper"":""<"",""rightnum"":""55"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""0"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",0
143,อนุบาล3/5,จำนวนนักเรียน 34 คน,b4ae22,2019-09-06 06:39:42.347287,2019-09-06 06:39:42.347287,117,,,0
78,ม.6/4,"",5ed612,2018-08-19 07:01:01.340045,2018-08-19 07:01:01.340045,47,,,0
83,ม.5/2,"",ae5cef,2018-08-19 07:01:17.212899,2018-08-19 07:01:17.212899,29,,,0
4,test0001,"",daafed,2018-05-27 14:47:51.974311,2018-05-27 14:47:51.974311,2,,,0
29,ม3/5,"",a5dffd,2018-08-19 06:56:15.586073,2018-08-19 07:01:23.651645,26,,,0
121,ป.3,จำนวนนักเรียน 13 คน การแปรรูปอาหารจากฟักทอง : เค้กฟักทอง,008779,2019-09-06 06:38:33.863875,2019-09-06 07:21:01.416797,119,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""20"",""type"":""exam"",""childs"":[]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""80"",""type"":""saving"",""childs"":[]}}]}","{""choice"":""4"",""blocks"":[{""leftnum"":""85"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""7"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""80"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""6"",""rightoper"":""<"",""rightnum"":""85"",""rightnumindex"":""1""},{""leftnum"":""75"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""5"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""2""},{""leftnum"":""70"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""4"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""3""},{""leftnum"":""65"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""3"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""4""},{""leftnum"":""60"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""2"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""1"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""0"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",10
12,4/4,ห้องหญิงล้วน,efeae7,2018-06-09 08:12:57.441423,2018-06-09 08:12:57.441423,12,,,0
13,4/5,ddd,a350b3,2018-06-09 08:23:38.963933,2018-06-09 08:23:38.963933,13,,,0
75,ม.6/3,"",af4774,2018-08-19 07:00:32.740139,2018-08-19 07:00:32.740139,47,,,0
24,2,"",9471ab,2018-08-19 06:55:03.601875,2018-08-19 07:00:47.453943,30,,,0
86,m5/2,"",5bdec1,2018-08-19 07:01:39.799294,2018-08-19 07:01:39.799294,61,,,0
89,5/8,ภาคเรียนที่ 1 ปีการศึกษา 2561 จำนวน 37 คน ครูที่ปรึกษา ครูเบญจวรรณ แดงสกุล ครูชุลีกร พินธิระ  ,48ef4c,2018-08-19 07:02:16.043041,2018-08-19 07:02:16.043041,51,,,0
94,5/6,ภาคเรียนที่ 1 ปีการศึกษา 2561 จำนวน 37 คน ครูที่ปรึกษา ครูเบญจวรรณ แดงสกุล ครูชุลีกร พินธิระ  ,828ffa,2018-08-19 07:02:28.168138,2018-08-19 07:02:28.168138,51,,,0
3,4/1,ห้องเรียนพิเศษ,7f33b2,2018-05-25 03:16:52.021959,2018-09-27 04:33:11.644535,4,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""50"",""type"":""exam"",""childs"":[{""text"":""สอบกลางภาค/สอบกลางภาค"",""score"":""40"",""id"":9},{""text"":""สอบปลายภาค/สอบปลายภาค"",""score"":""60"",""id"":12}]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""50"",""type"":""saving"",""childs"":[{""text"":""แกรมมา หน่วย 1/แบบฝึกหัด"",""score"":""20"",""id"":7},{""text"":""Speaking test1/ปฏิบัติการ"",""score"":""20"",""id"":8},{""text"":""นำเสนองานกลุ่ม/กิจกรรมกลุ่ม"",""score"":""50"",""id"":10},{""text"":""eq/กิจกรรมชั้นเรียน"",""score"":""5"",""id"":14},{""text"":""งานกลุ่ม/กิจกรรมกลุ่ม"",""score"":""5"",""id"":22}]}}]}","{""choice"":""4"",""blocks"":[{""leftnum"":""80"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""4"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""75"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""3.5"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""1""},{""leftnum"":""70"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""3"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""2""},{""leftnum"":""65"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""2.5"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""3""},{""leftnum"":""60"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""2"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""4""},{""leftnum"":""55"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""1.5"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""1"",""rightoper"":""<"",""rightnum"":""55"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""0"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",2
155,อนุบาล 3,นักเรียน 22 คน,52162e,2019-09-06 06:55:15.530278,2019-09-06 06:55:15.530278,143,,,0
161,6/2,ทดสอบสมรรถนะ,247b5c,2019-09-06 07:02:41.653458,2019-09-06 07:02:41.653458,147,,,0
144,ป.1/1,จำนวนนักเรียน 20 คน,11793b,2019-09-06 06:39:44.544281,2019-09-06 07:08:10.012407,113,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""20"",""type"":""exam"",""childs"":[{""text"":""สอบปลายภาค/สอบปลายภาค"",""score"":""100"",""id"":185}]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""80"",""type"":""saving"",""childs"":[{""text"":""Mind map สรุปการอ่าน/อื่นๆ"",""score"":""50"",""id"":136},{""text"":""ใบงานmy farm/อื่นๆ"",""score"":""50"",""id"":145}]}}]}","{""choice"":""4"",""blocks"":[{""leftnum"":""80"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""4"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""75"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""3.5"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""1""},{""leftnum"":""70"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""3"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""2""},{""leftnum"":""65"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""2.5"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""3""},{""leftnum"":""60"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""2"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""4""},{""leftnum"":""55"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""1.5"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""1"",""rightoper"":""<"",""rightnum"":""55"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""0"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",2
5,ห้องเรียนทดสอบ,ทดสอบห้องเรียน,95ac00,2018-06-03 13:15:31.229681,2018-06-03 13:17:08.874794,6,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":"""",""type"":""exam"",""childs"":[]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":"""",""type"":""saving"",""childs"":[]}}]}","{""choice"":""2"",""blocks"":[{""leftnum"":""85"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""A"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""80"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""B+"",""rightoper"":""<"",""rightnum"":""85"",""rightnumindex"":""1""},{""leftnum"":""75"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""B"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""2""},{""leftnum"":""70"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""C+"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""3""},{""leftnum"":""65"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""C"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""4""},{""leftnum"":""60"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""D+"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""D"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""F"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",0
6,ม.4/4,"",0f33a7,2018-06-04 03:20:23.431149,2018-06-04 03:20:23.431149,7,,,0
7,ม.5/4,"",7bc516,2018-06-04 03:37:26.619933,2018-06-04 03:37:26.619933,8,,,0
8,ม.5/6,"",5abacc,2018-06-06 03:31:40.538542,2018-06-06 03:38:28.096956,9,,,0
9,ห้องเรียนครูขวัญ,"",ab71c8,2018-06-06 14:29:41.439885,2018-06-06 14:29:41.439885,10,,,0
10,4/2,ห้องเรียนพิเศษ พสวท,cf8444,2018-06-09 07:47:52.889949,2018-06-09 07:47:52.889949,4,,,0
11,4/3,ห้องพิเศษ,46d9bd,2018-06-09 08:12:19.421139,2018-06-09 08:12:19.421139,12,,,0
14,ม.5/6,"",48d44d,2018-06-11 02:56:13.840692,2018-06-11 02:56:13.840692,14,,,0
15,3/1,"",028457,2018-06-11 08:26:57.054015,2018-06-11 08:26:57.054015,15,,,0
16,M401,"",24d506,2018-06-11 08:47:15.912326,2018-06-11 08:47:15.912326,17,,,0
17,M404,"",622a77,2018-06-11 08:47:32.779001,2018-06-11 08:47:32.779001,17,,,0
18,6/1,30 คน,0e97bb,2018-06-11 09:58:11.579019,2018-06-11 09:58:11.579019,18,,,0
19,4/1,วิทยาการคำนวณ,2c18e2,2018-06-13 03:00:17.671002,2018-06-13 03:00:17.671002,19,,,0
20,606,"",c469e8,2018-06-18 05:45:09.028219,2018-06-18 06:04:12.68882,20,,,0
21,503,"",630c60,2018-06-19 02:07:05.355288,2018-06-19 02:07:05.355288,21,,,0
22,1/5,32 คน,2c8cd0,2018-06-25 15:03:18.212238,2018-06-25 15:03:18.212238,23,,,0
25,ม.4/3,"",055e7a,2018-08-19 06:55:19.757649,2018-08-19 06:55:19.757649,24,,,0
26,ม.4/4,"",0fbd90,2018-08-19 06:55:29.525235,2018-08-19 06:55:29.525235,24,,,0
27,ม.4/5,"",a10fbd,2018-08-19 06:55:42.53966,2018-08-19 06:55:42.53966,24,,,0
30,ม.4/1,1. การเคลื่อนที่ของสารผ่านเซลล์,db287f,2018-08-19 06:56:22.676568,2018-08-19 06:56:22.676568,27,,,0
31,ม.5/2,"",e02266,2018-08-19 06:56:27.867371,2018-08-19 06:56:27.867371,69,,,0
35,ม.1/1,"",7d2e50,2018-08-19 06:56:57.724335,2018-08-19 06:56:57.724335,44,,,0
36,ม.1/2,"",02b04d,2018-08-19 06:57:50.148312,2018-08-19 06:57:50.148312,50,,,0
38,ม.1/8,"",b8da97,2018-08-19 06:58:45.534505,2018-08-19 06:58:45.534505,50,,,0
41,ม.1/9,"",5c4237,2018-08-19 06:59:22.647215,2018-08-19 06:59:22.647215,50,,,0
43,ม.1/10,"",7da80e,2018-08-19 06:59:47.658357,2018-08-19 06:59:47.658357,50,,,0
44,ม.6/2,"",4ce293,2018-08-19 06:59:50.278156,2018-08-19 06:59:50.278156,47,,,0
50,ม.4/6,"",b8625f,2018-08-19 06:59:59.24205,2018-08-19 06:59:59.24205,62,,,0
55,ม.3/6,"",9c0065,2018-08-19 07:00:04.976935,2018-08-19 07:00:04.976935,49,,,0
60,ม.2/2,"",3b042b,2018-08-19 07:00:08.841996,2018-08-19 07:00:08.841996,65,,,0
62,3/5,"",211367,2018-08-19 07:00:09.790008,2018-08-19 07:00:09.790008,60,,,0
63,ม1/1,"",a31093,2018-08-19 07:00:11.121967,2018-08-19 07:00:11.121967,55,,,0
65,ม.601,"",4ae8b1,2018-08-19 07:00:12.423868,2018-08-19 07:00:12.423868,66,,,0
66,ม.1/6,"",491ed9,2018-08-19 07:00:12.996827,2018-08-19 07:00:12.996827,32,,,0
67,ม1/1,"",2f6176,2018-08-19 07:00:13.146627,2018-08-19 07:00:13.146627,59,,,0
69,ม.1/11,"",de3f01,2018-08-19 07:00:13.836531,2018-08-19 07:00:13.836531,50,,,0
70,ม.2,"",c1c9ee,2018-08-19 07:00:15.644214,2018-08-19 07:00:15.644214,71,,,0
72,m5/1,"",39735c,2018-08-19 07:00:20.854274,2018-08-19 07:00:20.854274,61,,,0
84,M502,"",681470,2018-08-19 07:01:21.311765,2018-08-19 07:01:21.311765,53,,,0
48,605,ภาคเรียนที่ 1,21f337,2018-08-19 06:59:57.14369,2018-08-19 07:16:38.551557,33,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""30"",""type"":""exam"",""childs"":[]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""70"",""type"":""saving"",""childs"":[{""text"":""คลื่นกล/แบบฝึกหัด"",""score"":""10"",""id"":63}]}}]}","{""choice"":""4"",""blocks"":[{""leftnum"":""80"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""4"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""75"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""3.5"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""1""},{""leftnum"":""70"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""3"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""2""},{""leftnum"":""65"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""2.5"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""3""},{""leftnum"":""60"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""2"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""4""},{""leftnum"":""55"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""1.5"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""1"",""rightoper"":""<"",""rightnum"":""55"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""0"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",0
37,ม.6/1,"",7d3c81,2018-08-19 06:58:05.860186,2018-08-19 08:10:18.599623,47,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""30"",""type"":""exam"",""childs"":[]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""70"",""type"":""saving"",""childs"":[{""text"":""กิจกรรม1/กิจกรรมชั้นเรียน"",""score"":""100"",""id"":87}]}}]}","{""choice"":""2"",""blocks"":[{""leftnum"":""85"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""A"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""80"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""B+"",""rightoper"":""<"",""rightnum"":""85"",""rightnumindex"":""1""},{""leftnum"":""75"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""B"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""2""},{""leftnum"":""70"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""C+"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""3""},{""leftnum"":""65"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""C"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""4""},{""leftnum"":""60"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""D+"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""D"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""F"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",10
34,5/11,ภาคเรียนที่ 1 ปีการศึกษา 2561 จำนวน 37 คน ครูที่ปรึกษา ครูเบญจวรรณ แดงสกุล ครูชุลีกร พินธิระ  ,a03e48,2018-08-19 06:56:41.830388,2018-08-19 07:11:49.000954,51,"{""results"":[{""maxscore"":{""text"":""คะแนนสอบ"",""score"":""40"",""type"":""exam"",""childs"":[]}},{""maxscore"":{""text"":""คะแนนเก็บ"",""score"":""60"",""type"":""saving"",""childs"":[]}}]}","{""choice"":""4"",""blocks"":[{""leftnum"":""85"",""leftnumindex"":""1"",""leftoper"":""<="",""gtext"":""7"",""rightoper"":""<="",""rightnum"":""100"",""rightnumindex"":""0""},{""leftnum"":""80"",""leftnumindex"":""2"",""leftoper"":""<="",""gtext"":""6"",""rightoper"":""<"",""rightnum"":""85"",""rightnumindex"":""1""},{""leftnum"":""75"",""leftnumindex"":""3"",""leftoper"":""<="",""gtext"":""5"",""rightoper"":""<"",""rightnum"":""80"",""rightnumindex"":""2""},{""leftnum"":""70"",""leftnumindex"":""4"",""leftoper"":""<="",""gtext"":""4"",""rightoper"":""<"",""rightnum"":""75"",""rightnumindex"":""3""},{""leftnum"":""65"",""leftnumindex"":""5"",""leftoper"":""<="",""gtext"":""3"",""rightoper"":""<"",""rightnum"":""70"",""rightnumindex"":""4""},{""leftnum"":""60"",""leftnumindex"":""6"",""leftoper"":""<="",""gtext"":""2"",""rightoper"":""<"",""rightnum"":""65"",""rightnumindex"":""5""},{""leftnum"":""50"",""leftnumindex"":""7"",""leftoper"":""<="",""gtext"":""1"",""rightoper"":""<"",""rightnum"":""60"",""rightnumindex"":""6""},{""leftnum"":""0"",""leftnumindex"":""8"",""leftoper"":""<="",""gtext"":""0"",""rightoper"":""<"",""rightnum"":""50"",""rightnumindex"":""7""}]}",0
